__LAMDA 	 __MU 
0.2 	 0.3 

# Replication 	 Delay Mean 
1 	 3.330906028864292 
2 	 3.34009507922816 
3 	 3.340374895533651 
4 	 3.317807905483686 
5 	 3.322717808900453 
6 	 3.3410711997220757 
7 	 3.3418966407718314 
8 	 3.3340283102123203 
9 	 3.334594411921021 
10 	 3.340227521778659 
11 	 3.35122418584897 
12 	 3.3114232729535744 
13 	 3.339114622595488 
14 	 3.330964570846079 
15 	 3.328456496956076 
16 	 3.347178142885874 
17 	 3.3380100532539663 
18 	 3.3218031547125713 
19 	 3.3357215981522037 
20 	 3.3196481776118345 
21 	 3.3479491460317687 
22 	 3.313530159504583 
23 	 3.341348737055491 
24 	 3.3233741820374996 
25 	 3.3039770487645512 
26 	 3.316395768163362 
27 	 3.3406097665353722 
28 	 3.32778619032536 
29 	 3.3496101794010626 
30 	 3.3296734139694735 
31 	 3.3425092769806484 
32 	 3.319960576718725 
33 	 3.3030918719188724 
34 	 3.347993190936378 
35 	 3.351938214535018 
36 	 3.3366457962193397 
37 	 3.3375147046751112 
38 	 3.334299510349475 
39 	 3.350210491046257 
40 	 3.3277669744942275 
41 	 3.3232205251191624 
42 	 3.3422211435292533 
43 	 3.3272205930532195 
44 	 3.350412638605867 
45 	 3.3360677453538043 
46 	 3.335065434882763 
47 	 3.3185716095711224 
48 	 3.337474711393693 
49 	 3.3458487361328 
50 	 3.3383737103480198 
51 	 3.3418396842453433 
52 	 3.3169595010470188 
53 	 3.3312246388910496 
54 	 3.3290530843257637 
55 	 3.3322295004605755 
56 	 3.360764959488407 
57 	 3.343029338425299 
58 	 3.329704057284224 
59 	 3.345927986892203 
60 	 3.3181874853849656 
61 	 3.341146038914585 
62 	 3.3235103531794525 
63 	 3.3275038817475724 
64 	 3.3402487068584565 
65 	 3.317508921145867 
66 	 3.3256609121167404 
67 	 3.328869666203146 
68 	 3.3291203979971415 
69 	 3.33104050262348 
70 	 3.3401777724371136 
71 	 3.3396531535365876 
72 	 3.3136003462675725 
73 	 3.3255363942237364 
74 	 3.3344140266443723 
75 	 3.3391126151907877 
76 	 3.319814608946561 
77 	 3.3448499258365327 
78 	 3.3180020724482984 
79 	 3.337246568345086 
80 	 3.341747206866217 
81 	 3.329716086500028 
82 	 3.3349746702480245 
83 	 3.3287225491088357 
84 	 3.31915132585558 
85 	 3.333535402736865 
86 	 3.3331523964120473 
87 	 3.3414750100394217 
88 	 3.327682239239589 
89 	 3.3370338925531806 
90 	 3.342865303038905 
91 	 3.313182766852575 
92 	 3.3295791715221026 
93 	 3.3293214267964375 
94 	 3.362119919686891 
95 	 3.3239090582909525 
96 	 3.3442562832956364 
97 	 3.334458306998146 
98 	 3.350744063867646 
99 	 3.3350395004341253 
100 	 3.334940223668348 
101 	 3.344412586888933 
102 	 3.335580726257296 
103 	 3.33210651946173 
104 	 3.3259442556424026 
105 	 3.336422830638046 
106 	 3.318586333271606 
107 	 3.326588849221681 
108 	 3.351035318417215 
109 	 3.349780415342216 
110 	 3.332934518629091 
111 	 3.3345956864440858 
112 	 3.3205681524330126 
113 	 3.3287144582734842 
114 	 3.3431703034316307 
115 	 3.3374444740513938 
116 	 3.3262898381604113 
117 	 3.3309270036777745 
118 	 3.324242772962673 
119 	 3.330645945266693 
120 	 3.32830755293497 
121 	 3.345796816337081 
122 	 3.3444238766333174 
123 	 3.3305725592434645 
124 	 3.3653689902142947 
125 	 3.3412908284859886 
126 	 3.348416816461391 
127 	 3.3376131781421905 
128 	 3.30573774550882 
