__LAMDA 	 __MU 
0.2 	 0.3 

# Replication 	 Delay Mean 
1 	 3.3270144186419937 
2 	 3.3220139354784015 
3 	 3.3281693531711687 
4 	 3.341206123697541 
5 	 3.3334418352261634 
6 	 3.3228261906345073 
7 	 3.3243459642334696 
8 	 3.3314854945064787 
9 	 3.3325738831991703 
10 	 3.3162821776856526 
11 	 3.332247676944973 
12 	 3.33557194072653 
13 	 3.3288079744132415 
14 	 3.3190533533589432 
15 	 3.3287542969976127 
16 	 3.3322480685027305 
17 	 3.3324728453439256 
18 	 3.3444375368755486 
19 	 3.3225471613421864 
20 	 3.333151636728467 
21 	 3.326670302579897 
22 	 3.343831600336119 
23 	 3.326198671836909 
24 	 3.329171957680756 
25 	 3.3454498366921617 
26 	 3.349276849824562 
27 	 3.3374276824720948 
28 	 3.322112108458376 
29 	 3.345809667519892 
30 	 3.327277950149772 
31 	 3.330656193093447 
32 	 3.332296811902972 
33 	 3.3335447481188534 
34 	 3.3313912475529373 
35 	 3.334562051465783 
36 	 3.3287476824762523 
37 	 3.3483812167127 
38 	 3.325356949945924 
39 	 3.3312730542293263 
40 	 3.3342211185447685 
41 	 3.3323144594989196 
42 	 3.3417361690434135 
43 	 3.351550473223426 
44 	 3.3353037513867423 
45 	 3.3374070346377414 
46 	 3.351573627883066 
47 	 3.3293940295655644 
48 	 3.3443262124851962 
49 	 3.3178650062919597 
50 	 3.324096690097484 
51 	 3.358958707666202 
52 	 3.329202910986916 
53 	 3.325834952816313 
54 	 3.340102150334908 
55 	 3.317530158174479 
56 	 3.3314806495842038 
57 	 3.329556737793386 
58 	 3.3233001789187386 
59 	 3.323658795655313 
60 	 3.3465212379151605 
61 	 3.313471321328721 
62 	 3.3326245100981273 
63 	 3.3263525130670826 
64 	 3.3317797450025584 
65 	 3.32980751215838 
66 	 3.3388869329674447 
67 	 3.322671499289893 
68 	 3.3324752283069743 
69 	 3.33786698768124 
70 	 3.3275871813152444 
71 	 3.3200276292560074 
72 	 3.3424494339171487 
73 	 3.3397808128606 
74 	 3.3445767095738095 
75 	 3.3480046487525823 
76 	 3.312263184265287 
77 	 3.331384511274333 
78 	 3.3129433233491388 
79 	 3.348364774721536 
80 	 3.323480295148032 
81 	 3.3302560262098697 
82 	 3.328202978723633 
83 	 3.355025557262628 
84 	 3.3386822027739935 
85 	 3.3339565260832367 
86 	 3.3273768614034287 
87 	 3.3377727094164507 
88 	 3.3213322888858903 
89 	 3.3417055811564214 
90 	 3.324387935930989 
91 	 3.3404310781334408 
92 	 3.3290922598338613 
93 	 3.343484450092184 
94 	 3.3396216945157042 
95 	 3.32816915115473 
96 	 3.3196256052710753 
97 	 3.3454142589207527 
98 	 3.3263268183576296 
99 	 3.347855819510337 
100 	 3.3396859998027537 
101 	 3.3268411949707506 
102 	 3.3269979474176266 
103 	 3.3472773863139373 
104 	 3.3469042263548614 
105 	 3.3189950039816782 
106 	 3.3423356808616886 
107 	 3.327786970747999 
108 	 3.3328594308768196 
109 	 3.317675951259702 
110 	 3.341059302146218 
111 	 3.347328734483911 
112 	 3.334331236120074 
113 	 3.343595606726592 
114 	 3.3376928058307187 
115 	 3.3375907923224295 
116 	 3.3239440674262615 
117 	 3.327180783955074 
118 	 3.3473690171350605 
119 	 3.343160395032402 
120 	 3.336062925394283 
121 	 3.330310645205476 
122 	 3.3294319710766644 
123 	 3.315817968177482 
124 	 3.33734363891002 
125 	 3.3275428093943002 
126 	 3.3367957451421444 
127 	 3.333615700134482 
128 	 3.3414190008027727 
